"Company","Date","Close"
"Google",2017-05-31,987.09
"Amazon",2017-05-31,994.62
"Facebook",2017-05-31,151.46
"Baidu",2017-05-31,186.1
"Alibaba",2017-05-31,122.46
"Tencent(HK)",2017-05-31,267.6
"Apple",2017-06-01,153.18
"Google",2017-06-01,988.29
"Amazon",2017-06-01,995.95
"Facebook",2017-06-01,151.53
"Baidu",2017-06-01,187.26
"Alibaba",2017-06-01,123.97
"Tencent(HK)",2017-06-01,271.2
"Apple",2017-06-02,155.45
"Google",2017-06-02,996.12
"Amazon",2017-06-02,1006.73
"Facebook",2017-06-02,153.61
"Baidu",2017-06-02,187.6
"Alibaba",2017-06-02,124.13
"Tencent(HK)",2017-06-02,270
